service,src_bytes,count,srv_count,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_srv_diff_host_rate,dst_host_srv_rerror_rate
eco_i,176,44,44,0.022727272727272728,11,11,0.09090909090909091,0
eco_i,192,45,45,0.022222222222222223,12,12,0.08333333333333333,0
eco_i,192,45,45,0.022222222222222223,12,12,0.08333333333333333,0
eco_i,208,46,46,0.021739130434782608,13,13,0.07692307692307693,0
eco_i,208,46,46,0.021739130434782608,13,13,0.07692307692307693,0
eco_i,224,47,47,0.02127659574468085,14,14,0.07142857142857142,0
eco_i,224,47,47,0.02127659574468085,14,14,0.07142857142857142,0
eco_i,240,48,48,0.020833333333333332,15,15,0.06666666666666667,0
eco_i,240,48,48,0.020833333333333332,15,15,0.06666666666666667,0
eco_i,256,49,49,0.02040816326530612,16,16,0.0625,0
eco_i,256,49,49,0.02040816326530612,16,16,0.0625,0
eco_i,272,50,50,0.02,17,17,0.058823529411764705,0
eco_i,272,50,50,0.02,17,17,0.058823529411764705,0
eco_i,288,51,51,0.0196078431372549,18,18,0.05555555555555555,0
eco_i,288,51,51,0.0196078431372549,18,18,0.05555555555555555,0
eco_i,304,52,52,0.019230769230769232,19,19,0.05263157894736842,0
eco_i,304,52,52,0.019230769230769232,19,19,0.05263157894736842,0
eco_i,320,53,53,0.018867924528301886,20,20,0.05,0
eco_i,320,53,53,0.018867924528301886,20,20,0.05,0
eco_i,336,54,54,0.018518518518518517,21,21,0.047619047619047616,0
eco_i,336,54,54,0.018518518518518517,21,21,0.047619047619047616,0
eco_i,352,55,55,0.01818181818181818,22,22,0.045454545454545456,0
eco_i,352,55,55,0.01818181818181818,22,22,0.045454545454545456,0
eco_i,368,56,56,0.017857142857142856,23,23,0.043478260869565216,0
eco_i,368,56,56,0.017857142857142856,23,23,0.043478260869565216,0
eco_i,384,57,57,0.017543859649122806,24,24,0.041666666666666664,0
eco_i,384,57,57,0.017543859649122806,24,24,0.041666666666666664,0
eco_i,400,58,58,0.017241379310344827,25,25,0.04,0
eco_i,400,58,58,0.017241379310344827,25,25,0.04,0
eco_i,416,59,59,0.01694915254237288,26,26,0.038461538461538464,0
eco_i,416,59,59,0.01694915254237288,26,26,0.038461538461538464,0
eco_i,432,60,60,0.016666666666666666,27,27,0.037037037037037035,0
eco_i,432,60,60,0.016666666666666666,27,27,0.037037037037037035,0
eco_i,448,61,61,0.01639344262295082,28,28,0.03571428571428571,0
eco_i,448,61,61,0.01639344262295082,28,28,0.03571428571428571,0
eco_i,464,62,62,0.016129032258064516,29,29,0.034482758620689655,0
eco_i,464,62,62,0.016129032258064516,29,29,0.034482758620689655,0
eco_i,480,63,63,0.015873015873015872,30,30,0.03333333333333333,0
eco_i,480,63,63,0.015873015873015872,30,30,0.03333333333333333,0
eco_i,496,64,64,0.015625,31,31,0.03225806451612903,0
eco_i,496,64,64,0.015625,31,31,0.03225806451612903,0
eco_i,512,65,65,0.015384615384615385,32,32,0.03125,0
eco_i,512,65,65,0.015384615384615385,32,32,0.03125,0
eco_i,528,66,66,0.015151515151515152,33,33,0.030303030303030304,0
eco_i,528,66,66,0.015151515151515152,33,33,0.030303030303030304,0
eco_i,544,67,67,0.014925373134328358,34,34,0.029411764705882353,0
eco_i,544,67,67,0.014925373134328358,34,34,0.029411764705882353,0
eco_i,560,68,68,0.014705882352941176,35,35,0.02857142857142857,0
eco_i,560,68,68,0.014705882352941176,35,35,0.02857142857142857,0
eco_i,576,69,69,0.014492753623188406,36,36,0.027777777777777776,0
eco_i,576,69,69,0.014492753623188406,36,36,0.027777777777777776,0
eco_i,592,70,70,0.014285714285714285,37,37,0.02702702702702703,0
eco_i,592,70,70,0.014285714285714285,37,37,0.02702702702702703,0
eco_i,608,71,71,0.014084507042253521,38,38,0.02631578947368421,0
eco_i,608,71,71,0.014084507042253521,38,38,0.02631578947368421,0
eco_i,624,72,72,0.013888888888888888,39,39,0.02564102564102564,0
